+-----+--------------------------------------------------+--------------------------------+---------------------------+
|     | Parameter                                        | DG2AVCVDEncIPPPTU2-TQoff.par   | 0_EncodeSequence_IP.par   |
|-----+--------------------------------------------------+--------------------------------+---------------------------|
|   0 | ################################                 |                                | n/a                       |
|   1 | ########  C-Model Only  ########                 |                                | n/a                       |
|   2 | BSpecCommandDump                                 | 0                              | n/a                       |
|   3 | FrameDumpEn                                      | 0                              | n/a                       |
|   4 | EnableStatistics                                 | 8                              | 0                         |
|   5 | ROISource                                        | 0                              | n/a                       |
|   6 | ROIQPDelta0                                      | 0                              | n/a                       |
|   7 | ROIQPDelta1                                      | 0                              | n/a                       |
|   8 | ROIQPDelta2                                      | 0                              | n/a                       |
|   9 | ROIQPDelta3                                      | 0                              | n/a                       |
|  10 | ROIMapFile                                       | ROIMap.txt                     | n/a                       |
|  11 | MPEG2VDEncCtrl                                   | 0                              | n/a                       |
|  12 | FadeDetectionMethod                              | 1                              | n/a                       |
|  13 | EnableSEI                                        | 0                              | 1                         |
|  14 | EnableBAsRefs                                    | 1                              | n/a                       |
|  15 | EnableBpyramid                                   | 1                              | 0                         |
|  16 | EnableBpyramidRefPicReordering                   | 1                              | n/a                       |
|  17 | RefBframeWAEnable                                | 2                              | n/a                       |
|  18 | ######################################           |                                | n/a                       |
|  19 | ########  Testing Parameters  ########           |                                | n/a                       |
|  20 | NumFrames                                        | 10                             | 297                       |
|  21 | ###ExplicitWeightsFile                           | ExplicitWeights.txt            | n/a                       |
|  22 | ###UserScalingListFile                           | ScalingList.txt                | n/a                       |
|  23 | ###UserPerQPRoundingFile                         | PerQPRounding.txt              | n/a                       |
|  24 | ###########################################      |                                | n/a                       |
|  25 | ########  MSDK Exposed Parameters  ########      |                                | n/a                       |
|  26 | BSliceQP                                         | 26                             | n/a                       |
|  27 | BRefSliceQP                                      | 26                             | n/a                       |
|  28 | NumP                                             | 1000                           | 4000                      |
|  29 | MaxBRefIdxL0                                     | 0                              | n/a                       |
|  30 | ################################################ |                                | n/a                       |
|  31 | ########  Application Parameters (DDI)  ######## |                                | n/a                       |
|  32 | BitRate                                          | 959488 // MaxBitRate           | 959488                    |
|  33 | MaxBitRate                                       | 959488 // (960000 >> 10) << 10 | 959488                    |
|  34 | UserMaxFrame                                     | 100000000                      | 82944                     |
|  35 | UserMaxFrame_P                                   | 100000000                      | n/a                       |
|  36 | FrameRateCode                                    | 0                              | n/a                       |
|  37 | BRCResetEnable                                   | 0                              | n/a                       |
|  38 | ResetFrameNum                                    | 0                              | n/a                       |
|  39 | ResetBitRate                                     | 0                              | n/a                       |
|  40 | ResetMaxBitRate                                  | 0                              | n/a                       |
|  41 | ResetFrameRateM                                  | 30                             | n/a                       |
|  42 | ResetFrameRateD                                  | 1                              | n/a                       |
